mol_i, mol_j, whole_dissimilarity
2, 2, 0.0
2, 3, 2.000588627593114e-05
2, 4, 3.952701817033777e-05
2, 5, 0.00011079301710181788
2, 6, 0.0001689375475965038
2, 7, 0.00019043287367492834
2, 8, 0.0001992921466220654
2, 9, 0.0002509921354038047
2, 10, 0.0009104292815793613
2, 11, 0.0016010950238709576
2, 12, 0.0016229864882839617
2, 13, 0.0016158888062187682
2, 14, 0.0016686035990441939
2, 15, 0.0016948397130794879
2, 16, 0.0017023712144152991
2, 17, 0.0017048208469779835
2, 18, 0.0017027854668599796
2, 19, 0.0017062795005169384
2, 20, 0.0017198767538656456
2, 21, 0.0017387068389501659
2, 22, 0.0021249407816125165
2, 23, 0.0021583372573994453
2, 24, 0.002125621553217938
2, 25, 0.0021304635135187544
2, 26, 0.0021767765729814315
2, 27, 0.002200559557651194
2, 28, 0.002214208506574278
2, 29, 0.002245499967495679
2, 30, 0.002253424819306682
2, 31, 0.002386077682100418
2, 32, 0.0022784654677251437
2, 33, 0.0014332005732091702
2, 34, 0.0014058570347549315
2, 35, 0.0014092495671101934
2, 36, 0.0013853955176645893
2, 37, 0.0014360272016621378
2, 38, 0.0014400206277597194
2, 39, 0.0014828142953565715
2, 40, 0.0015110525258393848
2, 41, 0.0015227502703439866
2, 42, 0.0015995157099614188
2, 43, 0.0017685218321105145
2, 44, 0.002635790454256992
2, 45, 0.0026124059560994617
2, 46, 0.0026162072133968373
2, 47, 0.0026338818696874933
2, 48, 0.002659381245188719
2, 49, 0.0026883640592249014
2, 50, 0.0027055655909631326
2, 51, 0.0027120591366275315
2, 52, 0.0027227694486396947
2, 53, 0.00275683065944321
2, 54, 0.002950144004034483
2, 55, 0.0028697710691395484
2, 56, 0.0026109675731672555
2, 57, 0.0025604159131465964
2, 58, 0.002569659154724291
2, 59, 0.002596163837370935
2, 60, 0.0025989524334281144
2, 61, 0.0026010921960626376
2, 62, 0.002631929017266388
2, 63, 0.002744834689310527
2, 64, 0.0040011967837373374
2, 65, 0.021051075493402127
2, 66, 0.003152866634612339
2, 67, 0.003154222667056228
2, 68, 0.003153797764305244
2, 69, 0.003186026024462718
2, 70, 0.0032059905475324557
2, 71, 0.003209877991105725
2, 72, 0.0032101195921863113
2, 73, 0.0032081830616791374
2, 74, 0.0031994597572905237
2, 75, 0.0032473055200193945
2, 76, 0.0035491761848618353
2, 77, 0.002890167547318856
2, 78, 0.0028821251150373817
2, 79, 0.002895242529148745
2, 80, 0.00291969672547987
2, 81, 0.002941295066099636
2, 82, 0.002951730199906244
2, 83, 0.002958143616834552
2, 84, 0.0029774393553247958
