mol_i, mol_j, min_mean_dissimilarity
2, 57, 0.0014572528386149976
2, 58, 0.0011505169050736524
2, 59, 0.0012723080646073683
2, 60, 0.0013280087026469325
2, 61, 0.0013262245468223775
2, 62, 0.001413765662839261
2, 63, 0.0015591074155365437
2, 64, 0.0025756347149257356
2, 65, 0.00846882422530103
2, 66, 0.0019504400681204393
2, 67, 0.0017043592294096151
2, 68, 0.0014799911022702252
2, 69, 0.0014863127730131308
2, 70, 0.0015757997155945434
2, 71, 0.001683168349100894
2, 72, 0.0018012164668066797
2, 73, 0.0019167483679963845
2, 74, 0.002079687238740872
2, 75, 0.002183381255418575
2, 76, 0.002382160728944497
2, 77, 0.0018354678792271925
2, 78, 0.0015647171180126849
2, 79, 0.00141464110221821
2, 80, 0.0014044844422148024
2, 81, 0.0014940528497492378
2, 82, 0.0016148535891064967
2, 83, 0.001739917237096293
2, 84, 0.001964722060576672
2, 85, 0.0021858702398608798
2, 86, 0.002159525860135279
2, 87, 0.0021383893085276206
2, 88, 0.002056115226280461
2, 89, 0.00197685791829328
2, 90, 0.001698229380411919
2, 91, 0.001594633641538284
2, 92, 0.0016709875723153185
2, 93, 0.0017618719545110832
2, 94, 0.001845247466718844
2, 95, 0.0019235785276664078
2, 96, 0.002094360216841761
2, 97, 0.0022341283855664322
2, 98, 0.0024550932543237654
2, 99, 0.0018020524673865016
2, 100, 0.0015127882415500993
2, 101, 0.0013154044865199687
2, 102, 0.001287069556220575
2, 103, 0.0013528643077957514
2, 104, 0.0014550299731495694
2, 105, 0.0015732090625517408
2, 106, 0.0017597254224654393
2, 107, 0.0019382281720067675
2, 108, 0.00197057110547398
2, 109, 0.0023631239587020157
3, 0, 0.0005355940580779816
3, 1, 0.0004825198424204922
3, 2, 4.0764656482924965e-05
3, 3, 4.165410750088405e-17
3, 4, 6.68407439119513e-05
3, 5, 0.0003247281312263119
3, 6, 0.000797020238555163
3, 7, 0.000985850859832981
3, 8, 0.0006619923461996292
3, 9, 0.0005077497583110409
3, 10, 0.0014752651646756758
3, 11, 0.0003774542986623041
3, 12, 0.00034369476376718054
3, 13, 0.00040766413092510693
3, 14, 0.0010920668553469877
3, 15, 0.0022391606928225515
3, 16, 0.002464794481838589
3, 17, 0.002405399460062043
3, 18, 0.001842978056317117
3, 19, 0.0012250959065215228
3, 20, 0.0006736064214708725
3, 21, 0.0006201424294272541
3, 22, 0.0013550713504736794
3, 23, 0.001238987481253399
3, 24, 0.0009473034598831069
3, 25, 0.0009716143205494037
3, 26, 0.0013016822087269456
3, 27, 0.0015785516758071115
3, 28, 0.0012446419440340934
3, 29, 0.0011159787140846197
3, 30, 0.0012063612954118154
3, 31, 0.0016968230475500258
3, 32, 0.0012590415278054673
3, 33, 0.0006347919230295493
3, 34, 0.0005758404522761574
3, 35, 0.00014438516568670475
3, 36, 0.00018408962488153139
3, 37, 0.00022318657023593657
3, 38, 0.00027966073415648944
3, 39, 0.0005323785571349471
3, 40, 0.0011890105932052459
3, 41, 0.0010041034485642874
3, 42, 0.0006734382258225354
3, 43, 0.0009275514804307785
3, 44, 0.0018911694038622477
3, 45, 0.0015897333530081315
3, 46, 0.0012729128185779426
3, 47, 0.0012002570858642165
3, 48, 0.0011661732281318725
3, 49, 0.0012091841607721654
3, 50, 0.0013124846998212878
3, 51, 0.0014149398966440754
3, 52, 0.0015195671406178983
3, 53, 0.0016179740995540253
3, 54, 0.0017290805563408519
3, 55, 0.001988918254907426
3, 56, 0.0016174705202057062
3, 57, 0.001633417680552606
3, 58, 0.0011656347376846233
3, 59, 0.0011738916137014968
3, 60, 0.0012057488466358246
3, 61, 0.001205493294259051
3, 62, 0.0012710588135511275
3, 63, 0.001394910742855237
3, 64, 0.002390581773076604
3, 65, 0.008378491348701023
3, 66, 0.0020983972050770115
3, 67, 0.001858377878617477
3, 68, 0.0015193959649709326
3, 69, 0.001462066509382403
3, 70, 0.0014927198613299613
3, 71, 0.0015559614520225785
3, 72, 0.0016440543496189463
3, 73, 0.0017470848568502176
3, 74, 0.0018950548053167718
3, 75, 0.0019877358543839894
3, 76, 0.002300019571604815
3, 77, 0.002036771961841672
3, 78, 0.001707975577664281
3, 79, 0.0014858833676859313
3, 80, 0.0013967872883497894
3, 81, 0.0014132358572385363
3, 82, 0.0014854493227112538
3, 83, 0.0015806979281199323
3, 84, 0.001779146299560098
3, 85, 0.0020092037538842365
3, 86, 0.0020411847390713962
3, 87, 0.002108264537507926
3, 88, 0.0021403822171947146
3, 89, 0.0019504569503134182
3, 90, 0.0017475451183042656
3, 91, 0.0015752643554276917
3, 92, 0.0016032257137026705
3, 93, 0.0016505263152258272
3, 94, 0.0017067275875528513
3, 95, 0.0017688149781509598
3, 96, 0.001921809507508096
3, 97, 0.0020527877061124887
3, 98, 0.002434511689418157
3, 99, 0.0019765059885268606
3, 100, 0.0016702686281688907
3, 101, 0.0013949718760272408
3, 102, 0.0012926013897073762
3, 103, 0.0012893510765599478
3, 104, 0.0013410994287359568
3, 105, 0.001425251344364263
3, 106, 0.001584066376915709
3, 107, 0.0017537997497623632
3, 108, 0.0017956181271630179
3, 109, 0.002341124829569577
4, 0, 0.0006140689686019456
4, 1, 0.0005982802050394998
4, 2, 0.0001343391640628721
4, 3, 6.910809026817834e-05
4, 4, 4.182006012040948e-17
4, 5, 0.00013441090580575214
4, 6, 0.0005799707382042667
4, 7, 0.0009471924670420243
4, 8, 0.0005956499616249859
4, 9, 0.00039270342570280016
4, 10, 0.0014527585769074744
4, 11, 0.000566852832626476
4, 12, 0.0003284809059790505
4, 13, 0.0003062187896132346
4, 14, 0.0007390740261688288
4, 15, 0.0019903973588534553
4, 16, 0.0024412248279954587
4, 17, 0.0023685390672041123
4, 18, 0.0017801140972411146
4, 19, 0.0011326743781502817
4, 20, 0.0005521881554264757
4, 21, 0.0004954648387039157
4, 22, 0.0014667980933003907
4, 23, 0.00129223622713118
4, 24, 0.0009432757846411804
4, 25, 0.0009198512257996867
4, 26, 0.0011165477301113404
4, 27, 0.001573084060699141
4, 28, 0.0011877572508528595
4, 29, 0.0010303036287777512
4, 30, 0.0010984335152141545
4, 31, 0.0016080797620247865
4, 32, 0.0011471137103993335
4, 33, 0.0007258702980533624
4, 34, 0.000671584244096271
4, 35, 0.00022644796839016112
4, 36, 0.00014726405653710787
4, 37, 0.00019665181130578948
4, 38, 0.00025324142019299354
4, 39, 0.00035713689784425226
4, 40, 0.0011104189659776652
4, 41, 0.0009416374719681882
4, 42, 0.0005598196354646809
4, 43, 0.0008421637663102167
4, 44, 0.0018953673383310407
4, 45, 0.001703842853265955
4, 46, 0.0013300361042470712
4, 47, 0.001227909933450312
4, 48, 0.001160087057036345
4, 49, 0.0011640207038342927
4, 50, 0.0012344350806750997
4, 51, 0.0013153646495516452
4, 52, 0.001406575784387417
4, 53, 0.0015016402336497459
4, 54, 0.0017016583617943302
4, 55, 0.0020004638921367205
4, 56, 0.001582561923261515
4, 57, 0.0017534509033155022
4, 58, 0.0011929634162336595
4, 59, 0.0011324858193999037
4, 60, 0.0011475758366587259
4, 61, 0.0011478329460018722
4, 62, 0.001197429230524767
4, 63, 0.0013074704497340358
4, 64, 0.0022865160421695857
4, 65, 0.00832096416716403
4, 66, 0.0021657640138044347
4, 67, 0.00196891301137901
4, 68, 0.0015627733827044525
4, 69, 0.0014722586276058945
4, 70, 0.0014657525823040612
4, 71, 0.0014980186971833133
4, 72, 0.0015625407307486932
4, 73, 0.0016535388433316566
4, 74, 0.0017864558370094953
4, 75, 0.0018703977190999612
4, 76, 0.0022400693480965853
4, 77, 0.002174162262891184
4, 78, 0.001813143365034697
4, 79, 0.0015482215505308798
4, 80, 0.0014124229701276063
4, 81, 0.0013843527511233683
4, 82, 0.001423258633215344
4, 83, 0.0014961632262003085
4, 84, 0.0016714089419602484
4, 85, 0.0019020458742000502
4, 86, 0.0019199214748633188
4, 87, 0.0020855723947469066
4, 88, 0.002202303193987028
4, 89, 0.001945006026439832
4, 90, 0.0017922725452536009
4, 91, 0.0015831742698882755
4, 92, 0.0015808332451827862
4, 93, 0.0015990222588255889
4, 94, 0.0016356265483980232
4, 95, 0.0016842831930269037
4, 96, 0.001819889433876867
4, 97, 0.0019476061564851807
4, 98, 0.002406203679149764
4, 99, 0.002045001597666915
4, 100, 0.0017802361048028935
4, 101, 0.0014599563615474028
4, 102, 0.0013167350101597778
4, 103, 0.0012709552138829101
4, 104, 0.0012889929272497623
4, 105, 0.0013482515906664363
4, 106, 0.001483135588001339
4, 107, 0.001641941153033975
4, 108, 0.0016883762042320806
4, 109, 0.0023199716445358085
5, 0, 0.0006179712917351735
5, 1, 0.0006243227655410059
5, 2, 0.00032007827076214936
5, 3, 0.00025361376576823845
5, 4, 0.00013535475704735622
5, 5, 4.2483870598511223e-17
5, 6, 0.00023954225009325262
5, 7, 0.0008382032420613763
5, 8, 0.000550795789470103
5, 9, 0.0003124186792614705
5, 10, 0.0014401754223272172
5, 11, 0.0005847849655199284
5, 12, 0.0005227429052325961
5, 13, 0.0004219158398132101
5, 14, 0.0003561445668297986
5, 15, 0.0013778164971717012
5, 16, 0.002133022636816935
5, 17, 0.0023338593791196
5, 18, 0.0017292155360042385
5, 19, 0.0010640316650544818
5, 20, 0.0004663897788571946
5, 21, 0.00040952877203924144
5, 22, 0.0014675058485569268
5, 23, 0.0014348756571881875
5, 24, 0.001051567653255198
5, 25, 0.0009905306496074875
5, 26, 0.0009320698297000459
5, 27, 0.0013966119296133788
5, 28, 0.001152495353895107
5, 29, 0.0009774475225013245
5, 30, 0.0010250757374596212
5, 31, 0.0015322554115593707
5, 32, 0.0010705608345839338
5, 33, 0.0007261594348196883
5, 34, 0.0007200828187528058
