mol_i, mol_j, min_max_dissimilarity
6, 38, 0.27107476159223887
6, 39, 0.12404436914202555
6, 40, 0.1222825438417321
6, 41, 0.46183786722054143
6, 42, 0.08855215717494902
6, 43, 0.12102121219876216
6, 44, 0.23368722263723962
6, 45, 0.2597790177311843
6, 46, 0.0992364786714739
6, 47, 0.07595172665487393
6, 48, 0.07618753135029188
6, 49, 0.07629507653054846
6, 50, 0.07619456437603767
6, 51, 0.07622302614968146
6, 52, 0.07645805650234216
6, 53, 0.07693230403375584
6, 54, 0.11366970000979815
6, 55, 0.30392337772012556
6, 56, 0.21532748261541368
6, 57, 0.2723480330241189
6, 58, 0.06538859274058129
6, 59, 0.06421856978095941
6, 60, 0.06442936490363649
6, 61, 0.06456408412291903
6, 62, 0.06496483436918588
6, 63, 0.06582981993352721
6, 64, 0.09230180777157448
6, 65, 0.26727749670620604
6, 66, 0.2678571539328116
6, 67, 0.2831218794516105
6, 68, 0.11112743378776746
6, 69, 0.07174867541535124
6, 70, 0.07204614378603069
6, 71, 0.07330024740032337
6, 72, 0.07361591643032839
6, 73, 0.07253496950449045
6, 74, 0.07187685764147711
6, 75, 0.08638236560068979
6, 76, 0.12653993781605977
6, 77, 0.27622513545977967
6, 78, 0.18463707812391328
6, 79, 0.08786447977502665
6, 80, 0.07309356068556161
6, 81, 0.07329937505409112
6, 82, 0.07357030425772693
6, 83, 0.073818605393693
6, 84, 0.07378531829794521
6, 85, 0.08710762609443545
6, 86, 0.09457122810802776
6, 87, 0.11848576665051469
6, 88, 0.2226038073946165
6, 89, 0.20642056809112075
6, 90, 0.18398986601854828
6, 91, 0.07825030945243638
6, 92, 0.08088987833981232
6, 93, 0.08215156275853563
6, 94, 0.08165145496215132
6, 95, 0.08005644182324856
6, 96, 0.07787968955408453
6, 97, 0.08837375340547837
6, 98, 0.10406270055393096
6, 99, 0.27656647487519137
6, 100, 0.26475847855556467
6, 101, 0.11987020200239884
6, 102, 0.0736177857931114
6, 103, 0.0745043706927555
6, 104, 0.07538572232981078
6, 105, 0.07594590614789354
6, 106, 0.07570324293183062
6, 107, 0.0767440522769719
6, 108, 0.102909073359292
6, 109, 0.16939031946585248
7, 0, 0.20868873682944233
7, 1, 0.23407672884215902
7, 2, 0.14544097134211953
7, 3, 0.13497946606015598
7, 4, 0.24569317152217818
7, 5, 0.458320145094552
7, 6, 0.20316455868290562
7, 7, 2.220446049250313e-16
