id energy_found_select energy_found_distort energy_found_both
457 -174025481.0645356 -174025483.53612098 -174025483.04918608
458 -174025465.13345945 -174025471.01836708 -174025470.15230495
459 -174025477.1491093 -174025478.05946916 -174025477.16589773
460 -174025469.0397814 -174025473.22741953 -174025472.7342356
461 -174025479.09562668 -174025478.77211395 -174025479.0684377
462 -174025472.00379333 -174025474.13449514 -174025473.353956
463 -174025468.8567704 -174025471.0484412 -174025471.27151653
464 -174025467.6168269 -174025473.86830893 -174025472.7876811
465 -174025468.72558177 -174025471.01871347 -174025471.44337678
466 -174025466.33592477 -174025471.73376176 -174025471.20978537
467 -174025461.8361626 -174025466.1656904 -174025465.61968708
468 -174025475.41872162 -174025479.31093922 -174025478.0243395
469 -174025471.87406823 -174025473.65975156 -174025473.99559787
470 -174025468.19765934 -174025470.38470626 -174025471.2487443
471 -174025475.4800463 -174025477.519401 -174025476.66875952
472 -174025474.27476412 -174025474.1477089 -174025474.59957087
473 -174025471.7956361 -174025474.00031018 -174025474.13630491
474 -174025476.1806811 -174025475.8368549 -174025475.77864754
475 -174025459.35764283 -174025464.81387734 -174025464.5705093
476 -174025467.72222373 -174025469.64185584 -174025470.26042154
477 -174025486.40612584 -174025487.52155775 -174025483.0181173
478 -174025484.18708786 -174025485.14679444 -174025483.77186832
479 -174025462.935188 -174025468.95291153 -174025468.88642284
480 -174025461.39294505 -174025466.5997819 -174025466.6146801
